codigo,descripcion,familia,desc_familia,grupo_articulo,categoria,color,tipo,unidad,activo
7700149010504,Guardab Tras Az-Stel Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149010511,Guardab Del Az-Stell Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149010528,Tapa Lat Izq Az-Stel Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149010535,Tapa Lat Der Az-Stel Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149010542,Tanque Gas Az-Stell Meteor TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149031844,Cubie Tras Der Gr/M INT CR4 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149031851,Cubie Tras Izq Gr/M INT CR4 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149031868,Cubie Tras Gr/M INT CR4 TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149110969,Tanque Gas Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149110976,Tap Tanq Del Der Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149110983,Tap Tanq Del Izq Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149110990,Tap Tanq Sup Der Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111003,Tap Tanq Sup Izq Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111010,Tap Tan Inf Com Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111027,Tap Tan Inf Com Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111034,Tap Tanq Inf Der Roja 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111041,Tap Tanq Inf Izq Roja 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111058,Tapa Lateral Der Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111065,Tapa Lateral Izq Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111072,Cubt Sup Gbarro Ngr/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111089,Gbarro Del Ng/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111096,Tanque Gas Gr/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
7700149111102,Tap Tanq Del Der Gr/M 300DS TA,1631000003,Materia Prima terceros,203002,Ckd,,TRANSFORMADO,UND,True
