codigo,nombre,activo,tolerancia_averia_pct
VDR0023726,EICHER MOTORS LIMITED,True,1.0
VDR0013714,Grupo DL Plus S.A.S,True,1.0
VDR0007251,CHONGQING LONCIN IMPORT AND EXPORT CO,True,1.0
VDR0021632,PUNTO COLOR INDUSTRIAL S.A.S.,True,1.0
VDR0009535,Moldes y Mecanizados sas,True,1.0
VDR0011180,SANYANG MOTOR CO LTD,True,1.0
VDR0046708,CHONGQING ZONSEN GROUP IE CORP,True,1.0
VDR0034111,C.I FARMAPLAST SAS,True,1.0
VDR0045379,GUANGDONG LONCIN MOTOR CO   LTD,True,1.0
VDR0029696,RUTECH S.A.S,True,1.0
VDR0027836,VALVER COLOMBIA SAS,True,1.0
VDR0047379,KYOMU GROUP SAS,True,1.0
VDR0003324,Intercalco Impresores S.A.S,True,1.0
VDR0007477,Mazdel Plazas Rodriguez S en C,True,1.0
VDR0050861,MINEPRO SAS,True,1.0
VDR0022998,FP MOTO S A S,True,1.0
VDR0011733,XIAMEN XIASHING MOTROCYCLE,True,1.0
VDR0001299,Internacional Automotriz S.A.S.,True,1.0
VDR0007523,Umo S.A,True,1.0
8000068542,Marca Zeta S.A.S,True,1.0
VDR0002303,Fotomontajes S.A.S.,True,1.0
VDR0016018,Lida Marcela Builes Franco,True,1.0
8110108175,HGO COLOR SA,True,1.0
8914112139,INTEGRANDO SAS,True,1.0
VDR0052708,PRISMA MP SAS,True,1.0
VDR0028824,SERVIPINTARTE S.A.S.,True,1.0
8110037519,PROMETALICOS ARMO SAS,True,1.0
VDR0030102,PERFORMANCE PIPES SYSTEM S.A.S,True,1.0
VDR0014909,I.P.C. INDUSTRIA PARTISTA COLOMBIANA SAS,True,1.0
8909196541,Auto Palacio S.A.,True,1.0
VDR0030686,ESPUMLATEX S.A.,True,1.0
VDR0005213,Conelec S.A.S,True,1.0
VDR0031669,INALTRA C.I. LTDA.,True,1.0
VDR0052306,IMLLA SA PANAMA,True,1.0
8301044097,Importa Nacional de LLantas IMLLA S.A.S.,True,1.0
VDR0032376,INVERSIONES BEROCO SAS,True,1.0
VDR0018617,CHONGQING JIALING-JIAPENG INDUSTRIAL CO.,True,1.0
VDR0007287,CHONGQING ZONGSHEN GROUP IE CORP,True,1.0
VDR0037930,MIMOTOCARRO SAS,True,1.0
VDR0002219,Mayra y CIA S.A.S.,True,1.0
VDR0027113,MECHANICAL FACTORY SAS,True,1.0
VDR0016334,JAIRO ALFONSO ACOSTA MURCIA,True,1.0
VDR0025776,RINDER RIDUCO S.A.S.,True,1.0
VDR0047496,PRISMA EMC S.A.S.,True,1.0
VDR0034596,3RUEDAS CARROCERIAS SAS,True,1.0
VDR0041145,ATUL AUTO LIMITED,True,1.0
VDR0028000,JUAN DE LA CRUZ SABOGAL VARELA,True,1.0
VDR0035894,FASECOL SAS,True,1.0
VDR0052820,MANUFACTURAS DE ALUMINIO MADEAL SA,True,1.0
