un,codigo,rol,cerrada,inspeccion,restringida,activo
MOTOS,WSERE-CONE-LEC-INTE,ORIGEN,False,False,False,True
MOTOS,WSERE-CONE-LEC,DESTINO,False,False,False,True
MOTOS,TPROC-ESPU-MA-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-ESPU-MA,DESTINO,False,False,True,True
MOTOS,TPROC-ESPU-MA-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-ESPU-MA-AKT,DESTINO,False,False,True,True
MOTOS,TPROC-INDU-SPA-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-INDU-SPA-INT-AKT,DESTINO,False,False,True,True
MOTOS,WSERE-INDU-SPA-INT-INTE,ORIGEN,False,False,True,True
MOTOS,WSERE-INDU-SPA-INT,DESTINO,False,False,True,True
MOTOS,TPROC-INTE-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-INTE,DESTINO,False,False,True,True
MOTOS,TPROC-INTE-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-INTE-AKT,DESTINO,False,False,True,True
MOTOS,TPROC-INTE-GRAN-DO-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-INTE-GRAN-DO-AKT,DESTINO,False,False,True,True
MOTOS,WSERE-INTE-GRAN-DO-INTE,ORIGEN,False,False,True,True
MOTOS,WSERE-INTE-GRAN-DO,DESTINO,False,False,True,True
MOTOS,WSERE-KO-LOR-PRO-INTE,ORIGEN,False,False,True,True
MOTOS,WSERE-KO-LOR-PRO,DESTINO,False,False,True,True
MOTOS,TPROC-KOLO-RPRO-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-KO-LOR-PRO-AKT,DESTINO,False,False,True,True
MOTOS,WSERE-PHGO,ORIGEN,False,False,True,True
MOTOS,WSERE-WHGO,DESTINO,False,False,True,True
MOTOS,WSERE-PINA,ORIGEN,False,False,True,True
MOTOS,WSERE-WINA,DESTINO,False,False,True,True
MOTOS,WSERE-PINT,ORIGEN,False,False,True,True
MOTOS,WSERE-WINT,DESTINO,False,False,True,True
MOTOS,WSERE-PUMO,ORIGEN,False,False,False,True
MOTOS,WSERE-WUMO,DESTINO,False,False,False,True
MOTOS,TPROC-PUNC-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-PUNC,DESTINO,False,False,True,True
MOTOS,TPROC-PUNC-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-PUNC-AKT,DESTINO,False,False,True,True
MOTOS,TPROC-SERV-IPIN-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-SERV-IPIN-TART,DESTINO,False,False,True,True
MOTOS,TPROC-SERV-IPIN-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-SERV-IPIN-TART-AKT,DESTINO,False,False,True,True
MOTOS,TPROC-UMO-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-UMO,DESTINO,False,False,True,True
MOTOS,TPROC-UMO-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-UMO-AKT,DESTINO,False,False,True,True
MOTOS,TPROC-WHGO-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-WHGO,DESTINO,False,False,True,True
MOTOS,TPROC-WHGO-AKT-INTE,ORIGEN,False,False,True,True
MOTOS,TPROC-WHGO-AKT,DESTINO,False,False,True,True
MOTOS,WSERE-WHGO-INTE,ORIGEN,False,False,True,True
MOTOS,WSERE-PESP,ORIGEN,False,False,True,True
MOTOS,MOTOS-WSERE-WESP,DESTINO,False,False,True,True
MOTOS,WSERE-PSER,ORIGEN,False,False,True,True
MOTOS,MOTOS-WSERE-WSER-VIPI-NTAR,DESTINO,False,False,True,True
MOTOS,WSERE-PPUN,ORIGEN,False,False,False,True
MOTOS,WSERE-WPUN,DESTINO,False,False,False,True
MOTOS,WSERE-PPER,ORIGEN,False,False,False,True
MOTOS,WSERE-WPER,DESTINO,False,False,False,True
